depth,curve,curveName,UWI
390.000,82.478,GR,00/01-01-073-05W5/0
390.250,86.413,GR,00/01-01-073-05W5/0
390.500,90.229,GR,00/01-01-073-05W5/0
390.750,90.944,GR,00/01-01-073-05W5/0
391.000,88.866,GR,00/01-01-073-05W5/0
391.250,82.638,GR,00/01-01-073-05W5/0
391.500,83.345,GR,00/01-01-073-05W5/0
391.750,88.403,GR,00/01-01-073-05W5/0
392.000,91.038,GR,00/01-01-073-05W5/0
392.250,89.579,GR,00/01-01-073-05W5/0
392.500,84.092,GR,00/01-01-073-05W5/0
392.750,78.479,GR,00/01-01-073-05W5/0
393.000,72.249,GR,00/01-01-073-05W5/0
393.250,69.179,GR,00/01-01-073-05W5/0
393.500,67.349,GR,00/01-01-073-05W5/0
393.750,58.390,GR,00/01-01-073-05W5/0
394.000,54.888,GR,00/01-01-073-05W5/0
394.250,61.614,GR,00/01-01-073-05W5/0
394.500,68.592,GR,00/01-01-073-05W5/0
394.750,60.065,GR,00/01-01-073-05W5/0
395.000,53.025,GR,00/01-01-073-05W5/0
395.250,64.902,GR,00/01-01-073-05W5/0
395.500,81.805,GR,00/01-01-073-05W5/0
395.750,85.120,GR,00/01-01-073-05W5/0
396.000,76.965,GR,00/01-01-073-05W5/0
396.250,71.476,GR,00/01-01-073-05W5/0
396.500,69.652,GR,00/01-01-073-05W5/0
396.750,68.996,GR,00/01-01-073-05W5/0
397.000,69.709,GR,00/01-01-073-05W5/0
397.250,70.504,GR,00/01-01-073-05W5/0
397.500,70.950,GR,00/01-01-073-05W5/0
397.750,68.689,GR,00/01-01-073-05W5/0
398.000,65.494,GR,00/01-01-073-05W5/0
398.250,61.810,GR,00/01-01-073-05W5/0
398.500,62.210,GR,00/01-01-073-05W5/0
398.750,65.527,GR,00/01-01-073-05W5/0
399.000,70.460,GR,00/01-01-073-05W5/0
399.250,72.472,GR,00/01-01-073-05W5/0
399.500,72.876,GR,00/01-01-073-05W5/0
399.750,69.745,GR,00/01-01-073-05W5/0
400.000,64.755,GR,00/01-01-073-05W5/0
400.250,64.783,GR,00/01-01-073-05W5/0
400.500,65.746,GR,00/01-01-073-05W5/0
400.750,67.389,GR,00/01-01-073-05W5/0
401.000,68.414,GR,00/01-01-073-05W5/0
401.250,69.559,GR,00/01-01-073-05W5/0
401.500,68.475,GR,00/01-01-073-05W5/0
401.750,64.971,GR,00/01-01-073-05W5/0
402.000,61.780,GR,00/01-01-073-05W5/0
402.250,58.398,GR,00/01-01-073-05W5/0
402.500,51.237,GR,00/01-01-073-05W5/0
402.750,45.191,GR,00/01-01-073-05W5/0
403.000,45.474,GR,00/01-01-073-05W5/0
403.250,51.519,GR,00/01-01-073-05W5/0
403.500,57.687,GR,00/01-01-073-05W5/0
403.750,63.922,GR,00/01-01-073-05W5/0
404.000,62.958,GR,00/01-01-073-05W5/0
404.250,56.916,GR,00/01-01-073-05W5/0
404.500,54.898,GR,00/01-01-073-05W5/0
404.750,53.010,GR,00/01-01-073-05W5/0
405.000,51.303,GR,00/01-01-073-05W5/0
405.250,52.635,GR,00/01-01-073-05W5/0
405.500,59.803,GR,00/01-01-073-05W5/0
405.750,64.915,GR,00/01-01-073-05W5/0
406.000,73.006,GR,00/01-01-073-05W5/0
406.250,59.894,GR,00/01-01-073-05W5/0
406.500,53.101,GR,00/01-01-073-05W5/0
406.750,47.489,GR,00/01-01-073-05W5/0
407.000,44.979,GR,00/01-01-073-05W5/0
407.250,49.847,GR,00/01-01-073-05W5/0
407.500,58.563,GR,00/01-01-073-05W5/0
407.750,51.026,GR,00/01-01-073-05W5/0
408.000,44.359,GR,00/01-01-073-05W5/0
408.250,44.021,GR,00/01-01-073-05W5/0
408.500,46.097,GR,00/01-01-073-05W5/0
408.750,53.200,GR,00/01-01-073-05W5/0
409.000,59.119,GR,00/01-01-073-05W5/0
409.250,69.196,GR,00/01-01-073-05W5/0
409.500,73.198,GR,00/01-01-073-05W5/0
409.750,73.786,GR,00/01-01-073-05W5/0
410.000,72.827,GR,00/01-01-073-05W5/0
410.250,68.639,GR,00/01-01-073-05W5/0
410.500,56.950,GR,00/01-01-073-05W5/0
410.750,46.131,GR,00/01-01-073-05W5/0
411.000,38.227,GR,00/01-01-073-05W5/0
