nEns	age	gmst
1.0	100.0	13.442072
1.0	300.0	13.363428
1.0	500.0	13.362024
1.0	700.0	13.445398
1.0	900.0	13.220362
1.0	1100.0	13.554743
1.0	1300.0	13.303888
1.0	1500.0	12.96203
1.0	1700.0	13.373316
1.0	1900.0	12.833643
1.0	2100.0	13.398401
1.0	2300.0	13.035303
1.0	2500.0	13.429987
1.0	2700.0	13.21557
1.0	2900.0	12.964838
1.0	3100.0	13.219721
1.0	3300.0	12.6939335
1.0	3500.0	13.286982
1.0	3700.0	13.248438
1.0	3900.0	13.17248
1.0	4100.0	13.334314
1.0	4300.0	13.184656
1.0	4500.0	13.3099
1.0	4700.0	12.741602
1.0	4900.0	13.315973
1.0	5100.0	13.342035
1.0	5300.0	13.2243595
1.0	5500.0	13.243616
1.0	5700.0	12.9331
1.0	5900.0	13.082605
1.0	6100.0	13.082911
1.0	6300.0	13.079981
1.0	6500.0	13.34112
1.0	6700.0	13.020594
1.0	6900.0	13.1219425
1.0	7100.0	13.29162
1.0	7300.0	13.135401
1.0	7500.0	13.381922
1.0	7700.0	12.808222
1.0	7900.0	12.988672
1.0	8100.0	13.025965
1.0	8300.0	12.958765
1.0	8500.0	13.402613
1.0	8700.0	12.825312
1.0	8900.0	12.919672
1.0	9100.0	12.592585
1.0	9300.0	12.651545
1.0	9500.0	12.61474
1.0	9700.0	12.103388
1.0	9900.0	12.424128
1.0	10100.0	12.252314
1.0	10300.0	12.601191
1.0	10500.0	12.00683
1.0	10700.0	11.964472
1.0	10900.0	12.232965
1.0	11100.0	12.509638
1.0	11300.0	12.278772
1.0	11500.0	11.508509
1.0	11700.0	10.965235
1.0	11900.0	10.048914
1.0	12100.0	10.547785
1.0	12300.0	10.580317
1.0	12500.0	9.692438
1.0	12700.0	9.989588
1.0	12900.0	10.048456
1.0	13100.0	10.319696
1.0	13300.0	9.93371
1.0	13500.0	10.049341
1.0	13700.0	9.294153
1.0	13900.0	9.86297
1.0	14100.0	9.876581
1.0	14300.0	9.512873
1.0	14500.0	9.138361
1.0	14700.0	8.846308
1.0	14900.0	8.819635
1.0	15100.0	8.396967
1.0	15300.0	7.7478576
1.0	15500.0	7.513849
1.0	15700.0	7.289453
1.0	15900.0	7.300592
1.0	16100.0	6.9330077
1.0	16300.0	6.853845
1.0	16500.0	6.392877
1.0	16700.0	6.4385924
1.0	16900.0	6.246515
1.0	17100.0	5.464929
1.0	17300.0	5.6342406
1.0	17500.0	6.175012
1.0	17700.0	5.605432
1.0	17900.0	5.885736
1.0	18100.0	5.7101073
1.0	18300.0	5.9190917
1.0	18500.0	5.9731383
