name,tournaments,played,won,wonLostPct
Philips Abayomi,1,1,0,0
Ahmed Abiev,1,2,0,0
Jan Terje Adamczyk,1,3,2,67
Julia Liv Adamczyk,4,9,2,22
Shayan Afsharpour-Faramarzi,5,13,8,62
Mats Aga,1,3,2,67
Ragnar Aga,1,2,0,0
Solveig Aga,7,15,4,27
Gurbat Agaev,1,5,4,80
Elvira Agaeva,1,2,0,0
Thanaruch Air,1,5,4,80
Pavan Kumar Akella,1,3,1,33
Durand Akoh,1,3,1,33
Annette Aksdal,1,3,3,100
Alex Ch Alexey,1,2,1,50
Sarah Allen,1,1,0,0
Solveig Alsaker,3,7,3,43
Ahmed Alyasiri,2,3,1,33
Arthur Andersen,1,2,1,50
Christina Andersen,1,2,0,0
Daniel Andersen,8,22,16,73
Vilde Elin Andreassen,1,3,0,0
Rebeka Andrisaka,4,10,4,40
Ana-Maria Andvik,6,16,6,38
Jon Andvik,1,4,3,75
Marie Christin Anfinnsen,5,9,4,44
Aksel Pisani Angeltvedt,1,3,2,67
Allen Anoup,6,15,7,47
Bendik Arntsen,1,3,1,33
Silja Arum,1,3,1,33
Sondre Asbjørnsen,2,5,1,20
Håkan Ascard,25,56,10,18
Kent Håkan Ascard,11,22,9,41
Erik Aschehoug,1,3,1,33
Harald Askim,3,7,0,0
Morten Askø,1,5,4,80
Toyin Asogba,1,2,1,50
Herman Aure,1,3,2,67
Kristoffer Austad,1,2,0,0
Rikard Backer-Owe,1,2,2,100
Christine Badescu-Skar,1,1,0,0
Edvin Digernes Bakke,1,2,0,0
Åsbjørn Bakke,1,3,0,0
Max Ulv Bakken,1,3,2,67
Blanka Balazs,2,9,7,78
Sarah Baroud,2,4,3,75
Ponnusamy Basker,1,2,1,50
Shaina Baskett,1,3,0,0
Mads Batalden,3,6,2,33
Ruben Batalden,7,13,2,15
Helga Bates,1,2,0,0
Liv Bates,1,2,0,0
Daniel Baxter,12,43,23,53
John Baxter,3,7,1,14
Ilda Becirovic,2,6,0,0
Malin Becker,2,5,2,40
Thorvald Becker,2,6,5,83
Wenche Becker-Eriksen,1,2,0,0
Kristian Bedin,1,5,3,60
Ole M Bekkelund,1,2,1,50
Anna Belova,1,5,2,40
Phillip Bennet,1,4,3,75
Michal Beranek,20,27,5,19
Geir Ingvar Berg,1,3,2,67
Gøran Berg,3,8,4,50
Maria Berg,4,9,2,22
Bjørnar Berge,1,2,0,0
Caroline Berge,1,3,0,0
Frode Berge,15,39,20,51
Gunnar Frette Berge,10,26,14,54
Emil Berglund,1,1,0,0
Jonas Berglund,1,3,3,100
Jonathan Berling,1,1,0,0
Herman Ferger Birkeland,1,1,0,0
Philip Sogn Biskop,1,1,0,0
Anett Bjelland,1,2,1,50
Christoffer Bjelland,1,3,2,67
Erling Bjelland,5,10,1,10
Kine Bjerga,3,8,5,63
Joakim Bjerkelund,5,5,1,20
