well_name,hor_names,X,Y,Z,dZ,dZ_v0k,Delta-Z
A08-01,N,540058.9375,6154699.0,1267.10070800781,2054.72216796875,1924.57458496093,-130.14758300782
A08-01,CK,539949.4375,6154251.0,2797.39599609375,570.118896484375,540.791809082031,-29.327087402343977
A11-01,N,535443.8125,6147140.5,1203.22900390625,2301.7451171875,2517.11083984375,215.36572265625
A12-01,N,551263.0,6139751.0,1018.93298339843,1819.19543457031,1770.58435058593,-48.61108398438
A12-01,CK,551263.0,6139820.5,2370.833984375,666.231079101562,634.8515625,-31.379516601562045
A12-01,ZE,551263.0,6139890.0,3127.60864257812,565.311889648437,555.445007324218,-9.866882324219091
A12-02,N,561877.0625,6139832.5,991.600646972656,1636.04150390625,1588.41528320312,-47.62622070313
A12-02,CK,561911.8125,6139797.0,2199.39428710937,432.39794921875,436.849365234375,4.451416015625
A14-01,N,538872.0,6117378.5,1060.84765625,1391.2099609375,1255.41088867187,-135.79907226563
A14-01,CK,538928.5,6117335.0,2257.36572265625,272.177001953125,259.691528320312,-12.485473632813012
A14-01,ZE,538937.5625,6117313.5,2503.93603515625,127.97509765625,114.783973693847,-13.191123962402997
A15-01,N,544753.0,6117575.5,1093.37194824218,1841.57202148437,1728.12341308593,-113.44860839844
A15-01,CK,544753.0,6117629.5,2334.39770507812,295.416015625,274.379089355468,-21.03692626953199
A15-01,ZE,544753.0,6117665.0,3464.71728515625,246.385009765625,236.320068359375,-10.06494140625
A15-02,N,551960.0,6129297.0,1089.89270019531,779.586120605468,722.930480957031,-56.65563964843693
A16-01,N,516154.0,6108805.0,819.550048828125,1669.30004882812,1698.49865722656,29.19860839844
A16-01,CK,516154.0,6108805.0,1834.80004882812,331.0,329.711364746093,-1.288635253906989
A16-01,ZE,516154.0,6108805.0,2146.30004882812,85.0,84.1977386474609,-0.8022613525391051
A17-01,N,542088.0,6097331.0,954.974975585937,1777.95324707031,1763.04235839843,-14.910888671880002
A17-01,CK,542088.5,6097314.0,1996.70178222656,173.910034179687,158.792098999023,-15.117935180663977
A18-01,N,557931.875,6101627.5,1062.94604492187,2088.57397460937,2128.103515625,39.52954101563
A18-01,CK,557952.875,6101633.0,2308.6298828125,365.9130859375,361.983367919921,-3.9297180175789777
A18-01,ZE,557859.5,6101683.5,4057.1455078125,11.996826171875,11.9613380432128,-0.03548812866219997
A18-02-S1,N,551796.375,6108153.0,926.697937011718,488.584045410156,390.931030273437,-97.65301513671903
A18-02-S1,CK,551849.125,6108178.0,1913.00463867187,120.476928710937,117.523750305175,-2.953178405762003
A18-02-S1,ZE,551857.0,6108178.0,2113.96630859375,96.4820556640625,86.9585342407226,-9.5235214233399
AKM-01,N,699769.875,5890253.0,518.986083984375,750.975524902343,724.625366210937,-26.35015869140591
AKM-01,CK,699769.5,5890276.5,1416.90441894531,757.97607421875,831.984619140625,74.008544921875
AKM-01,ZE,699768.25,5890291.0,2113.59814453125,374.416015625,367.221099853515,-7.194915771485
AKM-02,N,689138.8125,5884748.0,579.975769042968,1154.46997070312,1152.98034667968,-1.489624023440001
AKM-02,CK,689138.375,5884771.0,1498.33728027343,676.77197265625,655.569091796875,-21.202880859375
AKM-02,ZE,689136.75,5884809.5,2160.02514648437,328.6669921875,322.002319335937,-6.664672851563012
AKM-03,N,702477.3125,5887283.0,550.996948242187,762.016784667968,753.051818847656,-8.964965820311932
AKM-03,CK,702480.375,5887287.0,1469.48901367187,734.994018554687,711.825378417968,-23.16864013671909
AKM-03,ZE,702483.0,5887291.0,2121.97192382812,299.850952148437,290.140838623046,-9.710113525390966
AKM-04,N,695089.0,5885562.0,574.769775390625,954.238159179687,940.214233398437,-14.02392578125
AKM-04,CK,695169.125,5885518.0,1517.07263183593,735.06591796875,715.199645996093,-19.866271972657046
AKM-04,ZE,695232.9375,5885490.5,2141.81884765625,196.656127929687,192.220382690429,-4.435745239257983
AKM-05,ZE,708838.0,5883325.0,2202.0,107.968589782714,105.632850646972,-2.3357391357420028
AKM-06,N,701210.0,5889988.0,524.0,1043.26000976562,1039.65966796875,-3.600341796869998
AKM-06,CK,701210.0,5889988.0,1418.5,741.0,716.508422851562,-24.491577148437955
AKM-06,ZE,701210.0,5889988.0,1938.0,14.0,12.6036081314086,-1.3963918685913992
AKM-07,N,702868.4375,5889565.0,544.495178222656,726.725646972656,686.428771972656,-40.296875
AKM-07,CK,702519.0,5889225.5,1429.06762695312,731.7880859375,725.727355957031,-6.060729980468977
AKM-07,ZE,701799.625,5889065.0,1932.96142578125,15.4410400390625,14.0984477996826,-1.3425922393799006
AKM-08,CK,699952.1875,5890417.5,1420.15002441406,741.718627929687,714.464660644531,-27.253967285156023
AKM-08,ZE,700390.0625,5890466.5,1946.87316894531,16.4501552581787,15.022533416748,-1.4276218414306996
AKM-10-S1,CK,703463.125,5888671.0,1430.70446777343,595.982116699218,584.2421875,-11.739929199217954
AKM-14,CK,699516.5625,5889468.5,1438.49475097656,699.394287109375,677.268371582031,-22.125915527343977
AKM-15,N,713234.25,5887386.0,499.455535888671,565.763000488281,533.198913574218,-32.56408691406307
AKM-15,CK,713105.5625,5887403.5,1438.35046386718,814.18408203125,785.304077148437,-28.880004882812955
AKM-16,CK,700318.8125,5889841.5,1438.44787597656,718.744018554687,695.380859375,-23.363159179687045
AKM-16,ZE,699918.8125,5889680.5,2115.69799804687,338.81103515625,330.426971435546,-8.384063720703978
AKM-17,N,689351.375,5886931.5,578.991821289062,1115.51794433593,1115.14086914062,-0.3770751953099989
AKM-17,CK,689577.0625,5886433.0,1471.19140625,678.174072265625,655.876831054687,-22.297241210937955
AKM-17,ZE,689900.6875,5885569.5,1974.46313476562,20.4024620056152,18.4632720947265,-1.9391899108887003
ALE-01,N,649445.8125,5805290.0,615.429931640625,1228.93701171875,1236.18774414062,7.250732421869998
ALE-01,ZE,649439.375,5805228.0,1630.6494140625,206.364013671875,202.346420288085,-4.01759338379
ALK-01,ZE,619393.8125,5830959.0,1978.27416992187,393.187133789062,386.531097412109,-6.656036376953011
ALM-01,N,637636.0,5737849.0,383.499053955078,761.393981933593,753.565368652343,-7.82861328125
ALO-01-S1,N,721793.75,5888662.0,440.48599243164,865.205993652343,869.5673828125,4.361389160157046
ALO-01-S1,CK,721547.625,5888508.5,1308.224609375,864.608947753906,813.88037109375,-50.72857666015602
ALO-01-S1,ZE,720522.8125,5888044.0,2322.25830078125,437.30615234375,424.772186279296,-12.533966064453978
AME-01,N,696492.0,5928407.0,321.5,630.0,638.7841796875,8.7841796875
AME-01,CK,696492.0,5928407.0,982.5,679.0,653.038879394531,-25.961120605468977
AME-01,ZE,696492.0,5928407.0,2473.0,1612.0,1618.33862304687,6.338623046869998
AME-02-S1,N,692306.25,5930478.0,483.958587646484,907.474975585937,930.548583984375,23.073608398437955
AME-02-S1,CK,692645.0625,5930236.0,1209.228515625,529.348999023437,494.727722167968,-34.621276855469034
AME-02-S1,ZE,693272.125,5929442.0,2395.9755859375,1769.24096679687,1750.06066894531,-19.18029785156
AME-101,N,693981.25,5928192.0,478.740844726562,946.028015136718,978.561340332031,32.53332519531307
AME-101,CK,693982.875,5928195.0,1320.46813964843,725.911926269531,690.426574707031,-35.4853515625
AME-101,ZE,694101.0,5928178.5,2745.921875,1120.8369140625,1109.32043457031,-11.516479492190001
AME-103,N,693961.1875,5928188.5,512.131958007812,655.266845703125,617.894836425781,-37.37200927734398
AME-103,CK,694180.0,5927551.0,1401.57958984375,826.9990234375,781.958435058593,-45.040588378907046
AME-103,ZE,694620.5625,5925429.5,2950.72973632812,849.800048828125,827.799560546875,-22.00048828125
AME-103-S1,N,693961.1875,5928188.5,512.131958007812,655.067077636718,617.656982421875,-37.410095214842954
AME-103-S1,CK,694180.0,5927551.0,1401.57958984375,826.9990234375,781.956298828125,-45.042724609375
AME-104,CK,693958.125,5928197.5,1316.20471191406,227.420700073242,200.666275024414,-26.754425048827983
AME-104,ZE,694645.8125,5928344.0,2709.66821289062,1132.37109375,1118.98693847656,-13.384155273440001
AME-201,N,690365.9375,5930062.5,554.981994628906,1085.77502441406,1096.33776855468,10.562744140619998
AME-201,CK,690369.0625,5930068.0,1533.46069335937,839.756958007812,797.568664550781,-42.18829345703102
AME-201,ZE,690792.0,5929516.0,2845.43994140625,798.35302734375,775.842163085937,-22.510864257812955
AME-202-S1,N,690257.1875,5930089.0,597.237548828125,431.650726318359,392.342254638671,-39.308471679687955
AME-202-S1,CK,689466.125,5930013.0,1594.39074707031,894.107055664062,841.802001953125,-52.305053710937045
AME-202-S1,ZE,687954.0,5930182.0,2873.61328125,614.68896484375,602.862243652343,-11.826721191407046
AME-203,ZE,691207.5,5931664.0,2753.91552734375,830.554931640625,811.005981445312,-19.548950195312955
AML-02,N,688264.0,5927421.0,617.0,1226.30004882812,1229.7265625,3.426513671880002
AML-02,CK,688264.0,5927421.0,1620.5,773.0,732.120300292968,-40.879699707032046
AML-02,ZE,688264.0,5927421.0,2394.75,322.0,309.242431640625,-12.757568359375
AMN-01,N,695008.875,5934453.0,374.989349365234,724.619018554687,742.307922363281,17.688903808593977
AMN-01,CK,695004.375,5934444.0,1186.46630859375,872.962036132812,824.589904785156,-48.37213134765602
AMN-01,ZE,695016.75,5934433.5,2594.96215820312,1300.0029296875,1290.6064453125,-9.396484375
AMN-02,CK,693947.0,5934716.0,1202.29565429687,823.427978515625,776.9384765625,-46.489501953125
AMN-03-S1,CK,693944.4375,5934655.0,1199.9287109375,805.553955078125,753.558837890625,-51.9951171875
AMN-03-S1,ZE,693673.9375,5935402.5,2512.72192382812,1328.57800292968,1323.57067871093,-5.00732421875
AMR-01,N,760281.875,5913058.5,393.475006103515,781.828979492187,785.804748535156,3.9757690429689774
AMR-01,CK,760307.1875,5913054.0,1230.45397949218,887.097045898437,847.054565429687,-40.04248046875
AMR-01,ZE,760372.375,5913059.0,2312.42504882812,1005.59289550781,989.015014648437,-16.577880859372954
ANA-01,N,753712.625,5888695.5,263.997467041015,215.344802856445,204.874618530273,-10.470184326171989
ANA-01,CK,753700.3125,5888698.5,846.908203125,637.840942382812,609.708557128906,-28.132385253906023
ANA-01,ZE,753617.5625,5888774.5,2304.90112304687,1107.45263671875,1089.16711425781,-18.28552246094
ANJ-01,N,709705.9375,5918315.5,648.616088867187,1212.75305175781,1233.66357421875,20.91052246094
ANJ-01,CK,710473.25,5917658.5,1622.23791503906,837.982055664062,794.158569335937,-43.823486328125
ANJ-01,ZE,710637.1875,5917332.0,3280.62963867187,806.152099609375,786.8359375,-19.316162109375
ANJ-03,CK,711069.1875,5918350.5,1756.04260253906,784.871643066406,720.839782714843,-64.03186035156307
ANJ-03,ZE,714838.125,5918091.0,3724.44116210937,418.09814453125,405.5888671875,-12.50927734375
ANL-01,N,747614.5625,5882427.0,59.951301574707,102.953002929687,102.899894714355,-0.05310821533200283
ANL-01,CK,747612.875,5882419.5,156.372970581054,72.9400024414062,73.1957092285156,0.2557067871094034
ANL-01,ZE,747625.5,5882274.5,2068.91650390625,2389.21606445312,2359.68774414062,-29.5283203125
ANN-01,N,753473.3125,5888874.0,240.998001098632,473.630004882812,477.439147949218,3.8091430664060226
ANN-01,CK,753470.9375,5888880.0,796.466125488281,628.662963867187,607.233642578125,-21.429321289062045
ANN-01,ZE,753395.6875,5888978.0,2286.77099609375,1228.40087890625,1209.22436523437,-19.176513671880002
ANS-01,N,749090.1875,5887112.0,340.497985839843,672.297973632812,680.491577148437,8.193603515625
ANS-01,CK,749093.375,5887111.5,1039.47985839843,716.943969726562,689.625793457031,-27.318176269531023
ANS-01,ZE,749014.9375,5887076.5,2578.49389648437,825.84912109375,805.576843261718,-20.272277832032046
ANV-01,N,762303.0625,5889556.0,86.0,162.199996948242,161.892944335937,-0.30705261230500014
ANV-01,ZE,762306.375,5889575.5,1594.48254394531,2842.96997070312,2806.64624023437,-36.32373046875
ANV-02-S2,N,762288.4375,5889529.5,85.7470016479492,163.947006225585,162.517776489257,-1.4292297363280113
ANV-02-S2,ZE,762038.1875,5889421.0,1771.01684570312,2684.88696289062,2678.78833007812,-6.0986328125
ANV-03,N,759965.625,5888373.5,407.986999511718,807.109008789062,819.303527832031,12.194519042968977
ANV-03,CK,759977.875,5888363.0,1175.38586425781,718.291015625,712.936218261718,-5.354797363282046
ANV-03,ZE,760264.8125,5887802.0,2692.33325195312,625.445068359375,614.233520507812,-11.211547851562955
APN-01,N,706583.0,5790879.0,541.300048828125,888.546020507812,835.889099121093,-52.65692138671909
APS-01,N,729526.9375,5874111.0,372.997985839843,728.065002441406,732.309020996093,4.244018554686932
APS-01,CK,729528.875,5874116.0,1223.49194335937,954.947937011718,899.293334960937,-55.65460205078091
APS-01,ZE,729564.25,5874122.0,2322.09350585937,688.56396484375,672.482727050781,-16.081237792968977
ARV-01,N,619115.5625,5780653.0,273.98013305664,546.757995605468,540.396057128906,-6.361938476561932
ARV-01,ZE,619288.6875,5780678.0,2372.56713867187,40.569091796875,38.5751800537109,-1.993911743164098
ASN-01,N,736748.0,5878787.0,460.998992919921,897.768005371093,910.337280273437,12.569274902344091
ASN-01,CK,737072.375,5878751.0,1379.79638671875,925.990051269531,878.07958984375,-47.91046142578102
ASN-01,ZE,738706.125,5878322.0,2826.4208984375,139.8720703125,132.692901611328,-7.179168701171989
AWG-01,CK,694539.3125,5932069.5,1097.90905761718,855.928039550781,802.908142089843,-53.01989746093807
AWG-01,ZE,694469.6875,5932070.5,2547.43090820312,1340.32189941406,1313.78564453125,-26.53625488281
AWG-102,ZE,694140.1875,5928740.0,2562.18481445312,1293.130859375,1276.91845703125,-16.21240234375
B10-01,N,574439.0,6142310.5,1178.48217773437,989.70068359375,769.396606445312,-220.30407714843795
B10-01,CK,574439.0,6142343.5,2516.3388671875,318.93505859375,312.243743896484,-6.691314697266023
B10-01,ZE,574439.0,6142359.5,2880.6982421875,293.76806640625,285.957885742187,-7.810180664063012
B10-02-S1,N,566940.9375,6133200.0,990.49267578125,1582.935546875,1522.63403320312,-60.30151367188
B10-02-S1,CK,566877.25,6133242.0,2177.53295898437,396.983032226562,395.03091430664,-1.9521179199219887
B10-02-S1,ZE,566877.125,6133269.0,3268.27465820312,729.43408203125,727.53125,-1.90283203125
B13-01,N,568256.8125,6128878.5,900.980041503906,1624.6044921875,1627.51782226562,2.913330078119998
B13-01,CK,568256.5625,6128900.0,2051.93676757812,499.962036132812,489.6708984375,-10.291137695311988
B13-01,ZE,568255.0625,6128939.5,2843.6484375,47.962890625,47.558349609375,-0.404541015625
B13-02,N,581536.0,6124043.0,807.418640136718,574.491943359375,504.413635253906,-70.07830810546898
B13-02,CK,581536.0,6124092.5,1909.13464355468,588.930908203125,579.368530273437,-9.562377929687955
B14-01,N,600345.6875,6118813.0,948.238647460937,1861.33996582031,1881.529296875,20.18933105469
B14-01,CK,600324.9375,6118712.5,2047.54797363281,303.722045898437,298.423461914062,-5.298583984375
B14-02,N,585184.0,6126953.0,978.949951171875,1600.6279296875,1524.81262207031,-75.81530761719
B14-02,CK,585184.0,6126953.0,2211.44995117187,429.5,429.429077148437,-0.07092285156301159
B14-03,N,600300.75,6115572.0,997.975280761718,1305.05163574218,1229.15478515625,-75.89685058593
B14-03,CK,600304.6875,6115581.0,2160.39013671875,328.950073242187,329.634155273437,0.68408203125
B17-01,N,594285.0,6100474.0,696.948486328125,1081.87365722656,1029.23413085937,-52.63952636719
B17-01,ZE,594285.0,6100508.5,1664.28918457031,134.843017578125,123.89973449707,-10.943283081055
B17-02,N,589023.0,6096709.5,908.930297851562,1432.39001464843,1388.17980957031,-44.21020507812
B17-03,N,596888.0,6098613.5,625.994812011718,844.18994140625,792.774169921875,-51.415771484375
B17-04,N,594727.0,6099872.0,683.237243652343,866.938049316406,828.918090820312,-38.01995849609398
B17-04,ZE,594760.5625,6099907.0,2827.9580078125,2571.89501953125,2573.13940429687,1.2443847656199978
B18-02,N,614672.125,6106757.0,952.925598144531,1869.81701660156,1880.79382324218,10.976806640619998
B18-02,CK,614670.875,6106718.0,1999.80993652343,187.985961914062,192.539352416992,4.55339050293
B18-03,N,622180.0,6097136.0,946.428588867187,1862.64001464843,1892.0390625,29.399047851570003
B18-03,CK,622186.25,6097157.0,2050.880859375,315.982055664062,315.776000976562,-0.2060546875
BAC-01,N,612910.875,5825211.5,476.998992919921,596.772583007812,568.619201660156,-28.153381347656023
BAC-01,ZE,612906.75,5825115.0,1937.8203125,206.942993164062,204.274658203125,-2.6683349609369884
BDK-01,N,678009.1875,5910971.5,582.46728515625,1158.52404785156,1125.26220703125,-33.26184082031
BDK-01-S1,N,678009.1875,5910971.5,582.46728515625,1158.52404785156,1125.26220703125,-33.26184082031
BDK-01-S1,ZE,678034.75,5911003.0,2508.41967773437,153.264068603515,153.219970703125,-0.04409790038999972
BDK-01-S2,N,678009.1875,5910971.5,582.46728515625,1073.1845703125,1058.33630371093,-14.848266601570003
BDK-01-S2,CK,678029.3125,5910962.0,1604.88562011718,879.873901367187,836.456420898437,-43.41748046875
BDK-01-S2,ZE,678034.75,5911003.0,2508.41967773437,516.778076171875,506.151306152343,-10.626770019531989
BDK-01-S3,N,678009.1875,5910971.5,582.46728515625,1158.52404785156,1163.236328125,4.712280273440001
BDK-01-S3,CK,678029.3125,5910962.0,1604.88562011718,879.873901367187,836.045043945312,-43.828857421875
BDK-01-S3,ZE,678034.75,5911003.0,2508.41967773437,516.778076171875,511.409759521484,-5.368316650391023
BDM-01,N,737692.125,5911831.5,470.998992919921,930.619018554687,929.487854003906,-1.1311645507810226
BDM-01,CK,737609.8125,5911687.0,1220.86181640625,562.053955078125,537.547058105468,-24.506896972657046
BDM-01,ZE,737246.625,5911104.0,2311.46557617187,1014.19006347656,996.207092285156,-17.982971191403976
BDM-02,N,737706.625,5911872.5,485.497009277343,351.989013671875,325.898345947265,-26.09066772461
BDM-02,CK,737708.75,5911867.5,1201.48083496093,460.965942382812,432.433288574218,-28.532653808593977
BDM-02,ZE,737284.5,5912046.5,2363.68896484375,916.046875,920.727661132812,4.680786132812045
BEE-72,N,712738.0,5684904.0,268.349975585937,563.849975585937,549.176879882812,-14.673095703125
BEE-72,CK,712738.0,5684904.0,610.349975585937,93.0,80.3073425292968,-12.692657470703196
BER-01-A,ZE,611136.375,5837305.5,1995.63244628906,212.546875,209.813095092773,-2.733779907226989
BER-02,N,610590.3125,5836715.0,481.860412597656,828.528015136718,823.272644042968,-5.25537109375
BER-02,ZE,611938.1875,5838782.0,1875.72790527343,310.990966796875,296.121520996093,-14.869445800781989
BER-03,N,610487.6875,5836688.0,481.599334716796,370.484100341796,348.589721679687,-21.894378662109034
BER-03,ZE,610679.8125,5839677.0,1915.78576660156,241.701049804687,242.64175415039,0.9407043457030113
BGM-01,N,616255.6875,5835016.5,418.499114990234,527.566040039062,502.983520507812,-24.582519531250057
BGM-01,ZE,616225.5,5834975.0,1954.25952148437,249.60498046875,247.795288085937,-1.8096923828130116
BGM-02,N,616359.875,5834890.0,449.545623779296,672.092468261718,654.055725097656,-18.03674316406193
BGM-02,ZE,617617.3125,5833101.0,2041.50305175781,150.135009765625,153.822479248046,3.687469482420994
BGM-07,ZE,613441.9375,5837297.5,2012.81469726562,367.107055664062,360.056427001953,-7.050628662108977
BGM-08,ZE,616267.9375,5834415.0,1931.63330078125,289.682983398437,276.029876708984,-13.653106689453011
BHG-01,N,553225.75,5738090.5,464.496002197265,595.912414550781,555.621276855468,-40.29113769531307
BHG-01,CK,553423.5625,5738223.5,1123.98278808593,415.640991210937,404.916717529296,-10.724273681640966
BHM-01,N,773014.5,5890703.5,373.486175537109,740.711975097656,726.925903320312,-13.786071777343977
BHM-01,CK,773027.0,5890693.5,1162.9365234375,831.984069824218,816.413024902343,-15.571044921875
BHM-01,ZE,772982.875,5890771.0,3312.51293945312,114.97998046875,107.609855651855,-7.370124816895
BHM-02,N,771600.9375,5890815.5,377.989868164062,748.883972167968,737.272338867187,-11.611633300780909
BHM-02,CK,771658.25,5890780.0,1155.43151855468,786.520080566406,772.7421875,-13.777893066406023
BHM-02,ZE,772948.3125,5889851.5,3320.64404296875,154.5380859375,145.80825805664,-8.72982788086
BHM-03,N,771581.625,5890793.0,377.989868164062,250.843780517578,233.683517456054,-17.160263061524006
BHM-03,CK,771582.1875,5890793.5,1144.48327636718,776.988037109375,765.059326171875,-11.9287109375
BHM-03,ZE,771393.375,5890855.0,3311.47778320312,271.552978515625,259.801818847656,-11.751159667968977
BHM-04,N,771577.1875,5890833.5,377.997009277343,243.702987670898,226.528442382812,-17.174545288086023
BHM-04,CK,771581.875,5890833.5,1146.98706054687,781.990051269531,772.48095703125,-9.509094238281023
BHM-04,ZE,772850.8125,5890776.0,3281.630859375,175.630126953125,166.781417846679,-8.848709106445995
BHM-05-S2,N,771560.1875,5890812.5,377.728790283203,271.234741210937,250.224395751953,-21.010345458983977
BHM-05-S2,CK,771465.125,5890896.0,1165.22937011718,776.570007324218,767.383483886718,-9.1865234375
BHM-05-S2,ZE,769509.0625,5892487.0,3220.44921875,316.90185546875,305.338836669921,-11.563018798828978
BHM-05-S3,N,771560.1875,5890812.5,377.728790283203,271.234741210937,250.224395751953,-21.010345458983977
BHM-05-S3,CK,771465.125,5890896.0,1165.22937011718,776.570007324218,767.383483886718,-9.1865234375
BHM-05-S3,ZE,769537.625,5892509.0,3215.97021484375,308.6689453125,297.076690673828,-11.592254638671989
BIR-01,N,758525.3125,5920957.0,369.496002197265,732.393005371093,757.228271484375,24.835266113282046
BIR-01,CK,758522.4375,5920957.5,1156.49169921875,834.662048339843,792.429626464843,-42.232421875
BIR-01,ZE,758543.0625,5921043.5,2243.251953125,1031.06311035156,1020.99694824218,-10.066162109380002
BIR-03,N,758580.25,5921090.0,367.997283935546,729.10498046875,746.595520019531,17.490539550781023
BIR-03,CK,758582.0,5921087.0,1145.4912109375,818.843994140625,770.872741699218,-47.971252441407046
BIR-03,ZE,758606.5625,5921177.0,2234.75073242187,1085.9189453125,1079.33972167968,-6.579223632820003
BIR-13,N,758596.0,5921224.0,395.008819580078,702.509826660156,704.695922851562,2.1860961914060226
BIR-13,CK,759353.6875,5921187.5,1154.66491699218,758.265991210937,717.62158203125,-40.644409179687045
BIR-13,ZE,761473.875,5921178.0,2214.71166992187,495.935791015625,491.589538574218,-4.346252441406989
BIR-13-S2,N,758596.0,5921224.0,395.008819580078,738.781005859375,743.344421386718,4.563415527342954
BIR-13-S2,CK,759353.6875,5921187.5,1154.66491699218,758.265991210937,715.768127441406,-42.49786376953102
BIR-13-S2,ZE,761440.625,5921176.5,2187.3203125,1167.31604003906,1149.82263183593,-17.493408203130002
BKH-01,N,718705.5625,5774674.5,478.266845703125,577.861633300781,567.692077636718,-10.169555664063068
BKH-01,ZE,717056.875,5774207.0,1389.95043945312,263.614990234375,260.8447265625,-2.770263671875
BKZ-01,N,652388.5625,5710249.0,561.491027832031,1106.07202148437,1099.38513183593,-6.686889648440001
BKZ-01,CK,652395.75,5710244.0,1150.46850585937,54.9940185546875,51.8415374755859,-3.152481079101598
BLA-01,N,655547.625,5795264.0,561.4990234375,1112.34204101562,1123.76403808593,11.421997070309999
BLA-01-S1,ZE,655883.4375,5795318.0,1363.38024902343,174.283081054687,166.071685791015,-8.211395263671989
BLD-01,CK,701738.0,5860511.0,1365.20129394531,680.282958984375,663.560363769531,-16.722595214843977
BLD-01,ZE,701768.0,5860505.5,1808.61547851562,94.9510498046875,88.0254898071289,-6.925559997558594
BLF-101,CK,689692.8125,5916409.5,1511.9150390625,750.262573242187,700.519653320312,-49.742919921875
BLF-101,ZE,689696.125,5916405.5,2311.87377929687,415.919189453125,403.810485839843,-12.108703613281989
BLF-102,CK,688737.5,5916903.0,1496.78186035156,781.5791015625,737.601745605468,-43.977355957032046
BLF-102,ZE,687118.625,5917720.5,2283.28125,406.22998046875,397.301727294921,-8.928253173828978
BLH-01,N,668951.0,5877929.0,627.747375488281,789.690795898437,748.027526855468,-41.66326904296909
BLH-01,CK,668955.9375,5877921.5,1526.71936035156,542.470947265625,520.577331542968,-21.893615722657046
BLH-01,ZE,668904.875,5877936.0,2170.25537109375,350.395874023437,348.106262207031,-2.289611816405966
BLS-01,N,705562.0,5858957.5,496.994995117187,382.373016357421,354.348358154296,-28.024658203125
BLS-01,CK,705583.875,5858952.5,1346.54064941406,700.105041503906,680.564514160156,-19.54052734375
BLS-01-S1,N,705562.0,5858957.5,496.994995117187,981.565002441406,984.050048828125,2.4850463867189774
BLS-01-S1,CK,705583.875,5858952.5,1346.54064941406,700.105041503906,679.998168945312,-20.106872558593977
BLS-01-S1,ZE,705549.625,5858804.0,1800.79943847656,120.131958007812,109.972328186035,-10.159629821777003
BNT-01,N,754823.9375,5845013.0,241.996780395507,466.704010009765,462.751403808593,-3.9526062011719887
BNT-01,CK,754826.25,5845014.5,723.475280761718,478.873016357421,448.947479248046,-29.925537109375
BNV-01-S1,N,678068.5625,5781582.5,668.606140136718,998.232360839843,952.098999023437,-46.13336181640591
BNV-01-S1,ZE,675464.1875,5779899.5,2114.62084960937,144.194946289062,137.074005126953,-7.120941162108977
BOL-01,N,762172.625,5904215.0,398.476013183593,512.715026855468,500.695831298828,-12.019195556639943
BOL-01,CK,762176.0,5904211.0,1263.4599609375,932.47802734375,891.097717285156,-41.38031005859398
BOL-01,ZE,762107.375,5904152.5,2283.80395507812,823.76806640625,807.137023925781,-16.631042480468977
