Market,Region,Income group,GDP per adult 2022,Wealth per adult 2000,Wealth per adult 2022,Total wealth,Share of world wealth,Wealth data quality
Afghanistan,Asia-Pacific,Low,771,Very poor
Albania,Europe,Upper middle,8808,6644,34839,77,0.0,Poor
Algeria,Africa,Lower middle,7134,2849,12491,354,0.1,Poor
American Samoa,Asia-Pacific,Upper middle,25585,n.a.
Andorra,Europe,High,52477,n.a.
Angola,Africa,Lower middle,6829,396,5418,83,0.0,Very poor
Anguilla,Latin America,High,32835,n.a.
Antigua and Barbuda,Latin America,High,22736,11091,30634,2,0.0,Very poor
Argentina,Latin America,Upper middle,14800,13303,13323,420,0.1,Poor
Armenia,Asia-Pacific,Upper middle,9906,2184,34988,76,0.0,Poor
Aruba,Latin America,High,42408,36913,61622,5,0.0,Very poor
Australia,Asia-Pacific,High,89417,108656,496819,9720,2.1,Good
Austria,Europe,High,65268,115039,245225,1794,0.4,Satisfactory
Azerbaijan,Asia-Pacific,Upper middle,9605,1443,21578,157,0.0,Poor
Bahamas,Latin America,High,45475,43078,72971,21,0.0,Poor
Bahrain,Asia-Pacific,High,31911,45569,84313,116,0.0,Poor
Bangladesh,Asia-Pacific,Lower middle,3644,1026,9796,1079,0.2,Poor
Barbados,Latin America,High,25276,33781,91291,20,0.0,Poor
Belarus,Europe,Upper middle,9671,1984,34835,255,0.1,Poor
Belgium,Europe,High,65074,140800,352814,3195,0.7,Satisfactory
Belize,Latin America,Upper middle,11383,8102,14966,4,0.0,Poor
Benin,Africa,Lower middle,2836,576,2823,18,0.0,Very poor
Bermuda,North America,High,150738,n.a.
Bhutan,Asia-Pacific,Lower middle,4365,n.a.
Bolivia,Latin America,Lower middle,5802,2117,14222,105,0.0,Poor
Bosnia and Herzegovina,Europe,Upper middle,9702,6712,33593,88,0.0,Poor
Botswana,Africa,Upper middle,12114,2294,16567,24,0.0,Poor
Brazil,Latin America,Upper middle,11798,6108,29452,4628,1.0,Poor
British Virgin Islands,Latin America,High,83065,n.a.
Brunei,Asia-Pacific,High,53264,34088,39908,13,0.0,Very poor
Bulgaria,Europe,Upper middle,16437,3878,47074,258,0.1,Fair
Burkina Faso,Africa,Low,1952,229,1713,17,0.0,Very poor
Burundi,Africa,Low,779,199,947,5,0.0,Very poor
Cambodia,Asia-Pacific,Lower middle,2734,624,6036,64,0.0,Poor
Cameroon,Africa,Lower middle,3273,660,3271,44,0.0,Poor
Canada,North America,High,66744,114618,369577,11263,2.5,Good
Cape Verde,Africa,Lower middle,5210,n.a.
Cayman Islands,Latin America,High,142228,74557,243514,11,0.0,n.a.
Central African Rep.,Africa,Low,1058,144,952,2,0.0,Poor
Chad,Africa,Low,2212,156,1297,10,0.0,Poor
Chile,Latin America,High,21043,21117,54082,779,0.2,Satisfactory
Mainland China,China,Upper middle,15624,4247,75731,84485,18.6,Good
Colombia,Latin America,Upper middle,8230,4163,15464,564,0.1,Satisfactory
Comoros,Africa,Lower middle,2765,1735,5285,2,0.0,Poor
Congo Dem. Rep.,Africa,Low,1375,336,1662,71,0.0,Poor
Congo Rep.,Africa,Lower middle,4682,270,1465,4,0.0,Poor
Cook Islands,Asia-Pacific,High,29907,n.a.
